Investigation.Type,Country,Aircraft.Category,Make,Model,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Event.Year
Accident,United States,Airplane,MCDONNELL DOUGLAS,DC9,Turbo Fan,Unknown,0.6555292000654344,0.297708358955438,1.0,44.0,1979
Accident,United States,Airplane,CESSNA,140,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,401B,Reciprocating,Business,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,BELLANCA,17-30A,Reciprocating,Personal,0.0,0.0,1.0,0.0,1982
Accident,United States,Airplane,CESSNA,R172K,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,NAVION,A,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,BEECH,19,Reciprocating,Personal,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,180,Reciprocating,Personal,3.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,172,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,150L,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,GRUMMAN,AA-5B,Reciprocating,Personal,2.0,1.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,414A,Reciprocating,Business,8.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,BEECHCRAFT,BE-58,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,MAULE,M-5-235C,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,210L,Reciprocating,Personal,0.0,0.0,1.0,1.0,1982
Accident,United States,Airplane,BELLANCA,7GCBC,Reciprocating,Personal,0.0,0.0,2.0,0.0,1982
Accident,United States,Airplane,CESSNA,182,Reciprocating,Personal,0.0,0.0,2.0,0.0,1982
Accident,United States,Airplane,AIR TRACTOR,AT-301,Reciprocating,Ferry,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,PIPER,PA-28-161,Reciprocating,Personal,4.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-34-200T,Reciprocating,Unknown,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,T337G,Reciprocating,Personal,2.0,2.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-28R-200,Reciprocating,Personal,0.0,0.0,2.0,0.0,1982
Accident,United States,Airplane,NAVION,A,Reciprocating,Business,3.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-22,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-31,Reciprocating,Unknown,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-24-250,Reciprocating,Business,0.0,1.0,0.0,1.0,1982
Accident,United States,Airplane,PIPER,PA-28R-200,Reciprocating,Ferry,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,TR182,Reciprocating,Unknown,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,A185F,Reciprocating,Unknown,0.0,2.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,340,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,BEECH,35,Reciprocating,Personal,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,MOONEY,M-20J,Reciprocating,Business,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,BOEING,A75,Reciprocating,Unknown,0.0,1.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,210,Reciprocating,Unknown,2.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,BEECH,V35,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CURTIS,C46,Reciprocating,Unknown,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,CESSNA,172M,Reciprocating,Personal,1.0,0.0,0.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-28-140,Reciprocating,Personal,1.0,1.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,TU206G,Reciprocating,Business,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,PIPER,PA-24-250,Reciprocating,Instructional,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,172N,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,152,Reciprocating,Instructional,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,P210N,Reciprocating,Personal,0.0,1.0,0.0,3.0,1982
Accident,United States,Airplane,CESSNA,172,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,PIPER,PA-34,Reciprocating,Personal,0.0,0.0,0.0,3.0,1982
Accident,United States,Airplane,CESSNA,305 (L-19),Reciprocating,Unknown,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,CESSNA,182A,Reciprocating,Unknown,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,PIPER,PA-23-250,Reciprocating,Unknown,0.0,2.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,172N,Reciprocating,Personal,0.0,0.0,0.0,4.0,1982
Accident,United States,Airplane,PIPER,23-250,Reciprocating,Personal,0.0,0.0,0.0,2.0,1982
Accident,United States,Airplane,MOONEY,M20G,Reciprocating,Personal,1.0,1.0,0.0,0.0,1982
Accident,United States,Airplane,CESSNA,TU206F,Reciprocating,Personal,0.0,0.0,4.0,0.0,1982
Accident,United States,Airplane,QUICKIE,1,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,U206,Reciprocating,Unknown,0.0,0.0,3.0,0.0,1982
Accident,United States,Airplane,PIPER,PA-28-140,Reciprocating,Personal,0.0,1.0,1.0,0.0,1982
Accident,United States,Airplane,CESSNA,210N,Reciprocating,Personal,4.0,1.0,1.0,0.0,1982
Accident,United States,Airplane,CESSNA,180,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,310L,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,CESSNA,414,Reciprocating,Personal,0.0,0.0,3.0,0.0,1982
Accident,United States,Airplane,BEECH,P35,Reciprocating,Personal,0.0,1.0,0.0,1.0,1982
Accident,United States,Airplane,GRUMMAN,AA5B,Reciprocating,Personal,0.0,0.0,0.0,1.0,1982
Accident,United States,Airplane,PIPER,PA-28R-201T,Reciprocating,Personal,0.0,0.0,0.0,3.0,1982
